Gene Mut Mean_score Value Simulations Pval Qval
ENSG00000223403 2 0.642366166666667 71 1100 0.0645454545454545 1
ENSG00000237556 1 1.21229566666667 71 1100 0.0645454545454545 1
ENSG00000224671 2 0.426734666666667 72 1100 0.0654545454545455 1
ENSG00000228971 1 1.092326 73 1100 0.0663636363636364 1
ENSG00000250497 1 0.285156333333333 73 1100 0.0663636363636364 1
ENSG00000267167 3 0.264837888888889 73 1100 0.0663636363636364 1
ENSG00000229656 2 0.6453725 74 1100 0.0672727272727273 1
ENSG00000236144 1 3.886228 74 1100 0.0672727272727273 1
ENSG00000256342 1 0.690763666666667 74 1100 0.0672727272727273 1
ENSG00000272141 1 0.355861333333333 74 1100 0.0672727272727273 1
ENSG00000235770 3 0.453053333333333 78 1100 0.0709090909090909 1
ENSG00000236445 1 -0.02116 78 1100 0.0709090909090909 1
ENSG00000229928 1 1.44148766666667 79 1100 0.0718181818181818 1
ENSG00000248866 1 1.04688133333333 79 1100 0.0718181818181818 1
ENSG00000257259 1 0.230318 79 1100 0.0718181818181818 1
ENSG00000258441 1 0.387316666666667 79 1100 0.0718181818181818 1
ENSG00000249781 1 0.670852666666667 80 1100 0.0727272727272727 1
ENSG00000273382 2 0.747857333333333 82 1100 0.0745454545454545 1
ENSG00000167355 4 1.1480785 83 1100 0.0754545454545455 1
ENSG00000231776 1 0.163850333333333 83 1100 0.0754545454545455 1
ENSG00000250061 2 0.891105166666667 83 1100 0.0754545454545455 1
ENSG00000260990 1 0.460827333333333 83 1100 0.0754545454545455 1
ENSG00000261037 1 0.0755883333333333 83 1100 0.0754545454545455 1
ENSG00000197989 1 1.60221733333333 85 1100 0.0772727272727273 1
ENSG00000270165 1 0.521216333333333 85 1100 0.0772727272727273 1
ENSG00000273372 1 0.513168333333333 85 1100 0.0772727272727273 1
ENSG00000267934 1 0.327037 87 1100 0.0790909090909091 1
ENSG00000255060 1 0.456236666666667 89 1100 0.0809090909090909 1
ENSG00000261177 1 0.123076333333333 89 1100 0.0809090909090909 1
ENSG00000261213 1 0.894126333333333 90 1100 0.0818181818181818 1
ENSG00000232600 1 3.880187 92 1100 0.0836363636363636 1
ENSG00000272304 2 0.134261833333333 92 1100 0.0836363636363636 1
ENSG00000196893 1 0.432138666666667 94 1100 0.0854545454545454 1
ENSG00000224738 2 1.0220705 95 1100 0.0863636363636364 1
ENSG00000267712 1 0.692844 97 1100 0.0881818181818182 1
ENSG00000270117 1 0.238836666666667 98 1100 0.0890909090909091 1
ENSG00000254383 1 1.59877333333333 99 1100 0.09 1
ENSG00000266040 1 1.868271 99 1100 0.09 1
ENSG00000253901 1 1.117482 101 1100 0.0918181818181818 1
ENSG00000261771 1 3.10675666666667 101 1100 0.0918181818181818 1
ENSG00000225783 1 0.671006 102 1100 0.0927272727272727 1
ENSG00000269653 1 0.83911 103 1100 0.0936363636363636 1
ENSG00000231980 1 0.624917333333333 104 1100 0.0945454545454545 1
ENSG00000260390 1 0.467755333333333 105 1100 0.0954545454545455 1
ENSG00000236393 1 0.53837 106 1100 0.0963636363636364 1
ENSG00000237928 1 0.259243333333333 106 1100 0.0963636363636364 1
ENSG00000254141 1 1.55564666666667 107 1100 0.0972727272727273 1
ENSG00000264707 1 0.610661333333333 107 1100 0.0972727272727273 1
ENSG00000238284 2 0.206010833333333 111 1100 0.100909090909091 1
ENSG00000235989 1 0.818265333333333 112 1100 0.101818181818182 1
ENSG00000232046 1 1.76123466666667 113 1100 0.102727272727273 1
ENSG00000249641 1 3.53303166666667 113 1100 0.102727272727273 1
ENSG00000245532 3 0.475691111111111 118 1100 0.107272727272727 1
ENSG00000260763 3 0.0393286666666667 118 1100 0.107272727272727 1
ENSG00000231304 1 0.365711666666667 119 1100 0.108181818181818 1
ENSG00000235158 1 0.457635333333333 119 1100 0.108181818181818 1
ENSG00000258499 1 -0.088763 119 1100 0.108181818181818 1
ENSG00000261634 1 0.205332333333333 119 1100 0.108181818181818 1
ENSG00000226627 1 -0.032202 11 100 0.11 1
ENSG00000227036 2 0.5907915 11 100 0.11 1
ENSG00000227115 1 0.144556 11 100 0.11 1
ENSG00000228065 2 0.354503333333333 11 100 0.11 1
ENSG00000231252 1 0.290335666666667 11 100 0.11 1
ENSG00000234722 2 0.209004 11 100 0.11 1
ENSG00000237338 1 3.93078566666667 11 100 0.11 1
ENSG00000244041 1 0.494108666666667 11 100 0.11 1
ENSG00000244055 1 3.67151 11 100 0.11 1
ENSG00000254815 1 2.160365 11 100 0.11 1
ENSG00000259584 1 0.819913333333333 11 100 0.11 1
ENSG00000260205 1 0.539929333333333 11 100 0.11 1
ENSG00000261786 1 0.232370666666667 11 100 0.11 1
ENSG00000267163 1 0.421656333333333 11 100 0.11 1
ENSG00000267353 1 0.973979 11 100 0.11 1
ENSG00000231616 1 1.32043433333333 123 1100 0.111818181818182 1
ENSG00000272329 1 0.068198 124 1100 0.112727272727273 1
ENSG00000248508 1 0.909851666666667 125 1100 0.113636363636364 1
ENSG00000253111 1 1.15094833333333 125 1100 0.113636363636364 1
ENSG00000265115 1 0.892410666666667 125 1100 0.113636363636364 1
ENSG00000234948 1 0.101289333333333 127 1100 0.115454545454545 1
ENSG00000248529 1 0.638170666666667 129 1100 0.117272727272727 1
ENSG00000257817 1 1.34342566666667 131 1100 0.119090909090909 1
ENSG00000203645 1 0.297397666666667 12 100 0.12 1
ENSG00000223586 2 0.2069025 12 100 0.12 1
ENSG00000225077 2 0.1936275 12 100 0.12 1
ENSG00000235070 1 0.335261333333333 12 100 0.12 1
ENSG00000243993 1 4.12635933333333 12 100 0.12 1
ENSG00000255794 3 1.30759566666667 12 100 0.12 1
ENSG00000261286 1 2.26432633333333 12 100 0.12 1
ENSG00000261432 1 0.171414 12 100 0.12 1
ENSG00000261795 1 -0.253168 12 100 0.12 1
ENSG00000272198 1 1.358311 12 100 0.12 1
ENSG00000259203 1 1.97871466666667 133 1100 0.120909090909091 1
ENSG00000179136 1 0.763185666666667 134 1100 0.121818181818182 1
ENSG00000229582 1 1.582817 134 1100 0.121818181818182 1
ENSG00000260551 1 0.0299406666666667 135 1100 0.122727272727273 1
ENSG00000188477 1 0.419591 136 1100 0.123636363636364 1
ENSG00000261758 1 0.491634 138 1100 0.125454545454545 1
ENSG00000233554 1 0.090594 139 1100 0.126363636363636 1
ENSG00000180081 3 0.0210541111111111 143 1100 0.13 1
ENSG00000223387 1 0.412393333333333 13 100 0.13 1
ENSG00000223704 1 1.35316233333333 13 100 0.13 1
ENSG00000224511 1 0.247798 13 100 0.13 1
ENSG00000225588 1 0.189943333333333 13 100 0.13 1
ENSG00000227838 1 0.142746333333333 13 100 0.13 1
ENSG00000228430 2 0.329929 13 100 0.13 1
ENSG00000229457 1 0.496192333333333 13 100 0.13 1
ENSG00000231532 2 0.469361333333333 13 100 0.13 1
ENSG00000232021 2 1.88738133333333 13 100 0.13 1
ENSG00000232044 4 0.298385 13 100 0.13 1
ENSG00000236049 1 1.214176 13 100 0.13 1
ENSG00000240801 1 1.02487966666667 143 1100 0.13 1
ENSG00000254010 1 4.353369 13 100 0.13 1
ENSG00000255248 2 1.044219 13 100 0.13 1
